name,w,h
sb0,96.0,94.0
sb1,26.0,78.0
sb10,26.0,51.0
sb11,43.0,80.0
sb12,39.0,58.0
sb13,92.0,50.0
sb14,27.0,28.0
sb15,96.0,72.0
sb16,42.0,43.0
sb17,61.0,94.0
sb18,70.0,72.0
sb19,30.0,86.0
sb2,26.0,76.0
sb20,87.0,49.0
sb21,94.0,76.0
sb22,74.0,80.0
sb23,64.0,80.0
sb24,66.0,27.0
sb25,82.0,86.0
sb26,36.0,49.0
sb27,93.0,75.0
sb28,87.0,44.0
sb29,42.0,88.0
sb3,96.0,25.0
sb30,93.0,56.0
sb31,42.0,81.0
sb32,44.0,38.0
sb33,63.0,76.0
sb34,67.0,32.0
sb35,94.0,88.0
sb36,63.0,82.0
sb37,73.0,43.0
sb38,74.0,87.0
sb39,92.0,62.0
sb4,75.0,92.0
sb40,26.0,36.0
sb41,26.0,68.0
sb42,66.0,85.0
sb43,85.0,42.0
sb44,85.0,74.0
sb45,30.0,28.0
sb46,56.0,30.0
sb47,81.0,51.0
sb48,82.0,63.0
sb49,42.0,86.0
sb5,64.0,58.0
sb6,36.0,31.0
sb7,45.0,91.0
sb8,38.0,80.0
sb9,43.0,64.0
