net
"['p1', 'sb21']"
"['p2', 'sb13']"
"['p3', 'sb25']"
"['p4', 'sb28']"
"['p5', 'sb25']"
"['p6', 'sb28']"
"['p7', 'sb42', 'sb35']"
"['p8', 'sb8']"
"['p9', 'sb21', 'sb38']"
"['p10', 'sb13']"
"['p11', 'sb28', 'sb46']"
"['p12', 'sb39', 'sb23']"
"['p13', 'sb7']"
"['p14', 'sb22']"
"['p15', 'sb21']"
"['p16', 'sb25', 'sb18']"
"['p17', 'sb34', 'sb0']"
"['p18', 'sb13', 'sb17']"
"['p19', 'sb25']"
"['p20', 'sb21']"
"['p21', 'sb21']"
"['p22', 'sb22']"
"['p23', 'sb10']"
"['p24', 'sb42']"
"['p25', 'sb47']"
"['p26', 'sb10', 'sb27']"
"['p27', 'sb44']"
"['p28', 'sb25']"
"['p29', 'sb28']"
"['p30', 'sb49']"
"['p31', 'sb25']"
"['p32', 'sb13']"
"['p33', 'sb33']"
"['p34', 'sb49', 'sb0']"
"['p35', 'sb13']"
"['p36', 'sb9']"
"['p37', 'sb22']"
"['p38', 'sb7']"
"['p39', 'sb47']"
"['p40', 'sb25', 'sb18']"
"['p41', 'sb14', 'sb30']"
"['p42', 'sb28']"
"['p43', 'sb22']"
"['p44', 'sb34']"
"['p45', 'sb44', 'sb12']"
"['p46', 'sb39']"
"['p47', 'sb24']"
"['p48', 'sb44', 'sb17']"
"['p49', 'sb21']"
"['p50', 'sb22']"
"['p51', 'sb3', 'sb35']"
"['p52', 'sb7', 'sb0']"
"['p53', 'sb13']"
"['p54', 'sb33']"
"['p55', 'sb33']"
"['p56', 'sb9']"
"['p57', 'sb1', 'sb27']"
"['p58', 'sb21']"
"['p59', 'sb10']"
"['p60', 'sb7']"
"['p61', 'sb8']"
"['p62', 'sb1']"
"['p63', 'sb21']"
"['p64', 'sb47', 'sb26']"
"['p65', 'sb28']"
"['p66', 'sb47']"
"['p67', 'sb21']"
"['p68', 'sb13']"
"['p69', 'sb44', 'sb4']"
"['p70', 'sb21', 'sb0']"
"['p71', 'sb28', 'sb11']"
"['p72', 'sb44']"
"['p73', 'sb42']"
"['p74', 'sb49']"
"['p75', 'sb13', 'sb36']"
"['p76', 'sb2', 'sb26']"
"['p77', 'sb24']"
"['p78', 'sb34', 'sb11']"
"['p79', 'sb14']"
"['p80', 'sb25']"
"['p81', 'sb39']"
"['p82', 'sb44']"
"['p83', 'sb2']"
"['p84', 'sb7', 'sb0']"
"['p85', 'sb21']"
"['p86', 'sb1']"
"['p87', 'sb24', 'sb11']"
"['p88', 'sb33']"
"['p89', 'sb13']"
"['p90', 'sb39']"
"['p91', 'sb25', 'sb23']"
"['p92', 'sb44']"
"['p93', 'sb25']"
"['p94', 'sb8']"
"['p95', 'sb33', 'sb48']"
"['p96', 'sb3']"
"['p97', 'sb44', 'sb35']"
"['p98', 'sb34']"
"['p99', 'sb39']"
"['p100', 'sb39', 'sb36']"
"['p101', 'sb39']"
"['p102', 'sb44']"
"['p103', 'sb15']"
"['p104', 'sb25']"
"['p105', 'sb25']"
"['p106', 'sb7']"
"['p107', 'sb8']"
"['p108', 'sb47']"
"['p109', 'sb7', 'sb20']"
"['p110', 'sb10', 'sb0']"
"['p111', 'sb28']"
"['p112', 'sb13', 'sb37']"
"['p113', 'sb49']"
"['p114', 'sb8']"
"['p115', 'sb33']"
"['p116', 'sb7', 'sb19']"
"['p117', 'sb22']"
"['p118', 'sb34', 'sb27']"
"['p119', 'sb7']"
"['p120', 'sb33', 'sb19']"
"['p121', 'sb44']"
"['p122', 'sb44']"
"['p123', 'sb39']"
"['p124', 'sb49']"
"['p125', 'sb7', 'sb0']"
"['p126', 'sb33']"
"['p127', 'sb2']"
"['p128', 'sb49', 'sb26']"
"['p129', 'sb21']"
"['p130', 'sb8']"
"['p131', 'sb2', 'sb0']"
"['p132', 'sb3']"
"['p133', 'sb39']"
"['p134', 'sb1']"
"['p135', 'sb47']"
"['p136', 'sb49']"
"['p137', 'sb39', 'sb37']"
"['p138', 'sb13']"
"['p139', 'sb3']"
"['p140', 'sb49']"
"['p141', 'sb34', 'sb4']"
"['p142', 'sb21']"
"['p143', 'sb47']"
"['p144', 'sb21', 'sb48']"
"['sb5', 'p145']"
"['sb17', 'p146']"
"['sb5', 'p147']"
"['sb20', 'p148']"
"['sb20', 'p149', 'sb5']"
"['sb27', 'p150']"
"['sb38', 'p151']"
"['sb17', 'p152']"
"['sb27', 'p153']"
"['sb20', 'p154']"
"['sb32', 'p155']"
"['sb36', 'p156']"
"['sb20', 'p157']"
"['sb27', 'p158']"
"['sb12', 'p159']"
"['sb35', 'p160']"
"['sb36', 'p161']"
"['sb38', 'p162']"
"['sb27', 'p163']"
"['sb48', 'p164']"
"['sb17', 'p165']"
"['sb35', 'p166']"
"['sb48', 'p167']"
"['sb36', 'p168']"
"['sb38', 'p169']"
"['sb11', 'p170']"
"['sb30', 'p171']"
"['sb27', 'p172']"
"['sb48', 'p173']"
"['sb12', 'p174']"
"['sb32', 'p175']"
"['sb38', 'p176', 'sb27']"
"['sb17', 'p177']"
"['sb37', 'p178']"
"['sb37', 'p179']"
"['sb11', 'p180']"
"['sb5', 'p181']"
"['sb36', 'p182']"
"['sb36', 'p183']"
"['sb12', 'p184']"
"['sb29', 'p185']"
"['sb5', 'p186', 'sb36']"
"['sb30', 'p187']"
"['sb12', 'p188']"
"['sb37', 'p189']"
"['sb35', 'p190']"
"['sb27', 'p191']"
"['sb20', 'p192']"
"['sb32', 'p193']"
"['sb30', 'p194']"
"['sb30', 'p195']"
"['sb29', 'p196']"
"['sb48', 'p197']"
"['sb38', 'p198']"
"['sb11', 'p199']"
"['sb27', 'p200']"
"['sb27', 'p201']"
"['sb37', 'p202']"
"['sb36', 'p203']"
"['sb35', 'p204']"
"['sb20', 'p205']"
"['sb30', 'p206']"
"['sb17', 'p207']"
"['sb11', 'p208']"
"['sb29', 'p209']"
"['sb9', 'sb23']"
"['sb43', 'sb30']"
"['sb25', 'sb41', 'sb28', 'sb23']"
"['sb43', 'sb20']"
"['sb15', 'sb5']"
"['sb16', 'sb20']"
"['sb21', 'sb29']"
"['sb31', 'sb30']"
"['sb15', 'sb29']"
"['sb44', 'sb4']"
"['sb7', 'sb37']"
"['sb4', 'sb15']"
"['sb47', 'sb30']"
"['sb39', 'sb18']"
"['sb40', 'sb23', 'sb15']"
"['sb44', 'sb0']"
"['sb45', 'sb4']"
"['sb46', 'sb12', 'sb41']"
"['sb0', 'sb9']"
"['sb23', 'sb31']"
"['sb33', 'sb46']"
"['sb15', 'sb31', 'sb17']"
"['sb19', 'sb15']"
"['sb0', 'sb9']"
"['sb33', 'sb46']"
"['sb2', 'sb38']"
"['sb15', 'sb17']"
"['sb46', 'sb40', 'sb43']"
"['sb0', 'sb45']"
"['sb28', 'sb40']"
"['sb8', 'sb23']"
"['sb2', 'sb44', 'sb0']"
"['sb9', 'sb27']"
"['sb22', 'sb26']"
"['sb42', 'sb23']"
"['sb0', 'sb9']"
"['sb22', 'sb15', 'sb4']"
"['sb3', 'sb0']"
"['sb15', 'sb35']"
"['sb31', 'sb43', 'sb35']"
"['sb3', 'sb18']"
"['sb42', 'sb4']"
"['sb31', 'sb38']"
"['sb43', 'sb29']"
"['sb41', 'sb40']"
"['sb49', 'sb0']"
"['sb15', 'sb11']"
"['sb49', 'sb0']"
"['sb45', 'sb22', 'sb18']"
"['sb24', 'sb43', 'sb0']"
"['sb21', 'sb36']"
"['sb4', 'sb16']"
"['sb41', 'sb18']"
"['sb13', 'sb19']"
"['sb9', 'sb20']"
"['sb24', 'sb23']"
"['sb6', 'sb40']"
"['sb23', 'sb15']"
"['sb2', 'sb38']"
"['sb15', 'sb5']"
"['sb15', 'sb5']"
"['sb15', 'sb38']"
"['sb13', 'sb4']"
"['sb22', 'sb23']"
"['sb4', 'sb31']"
"['sb16', 'sb35']"
"['sb16', 'sb12']"
"['sb49', 'sb23']"
"['sb1', 'sb36']"
"['sb22', 'sb4']"
"['sb25', 'sb23']"
"['sb24', 'sb17']"
"['sb43', 'sb16', 'sb37']"
"['sb22', 'sb35']"
"['sb34', 'sb9', 'sb18']"
"['sb14', 'sb18']"
"['sb49', 'sb4']"
"['sb25', 'sb4']"
"['sb42', 'sb23']"
"['sb31', 'sb30']"
"['sb4', 'sb15']"
"['sb44', 'sb4']"
"['sb18', 'sb4', 'sb31']"
"['sb9', 'sb4']"
"['sb23', 'sb15']"
"['sb11', 'sb20', 'sb16']"
"['sb19', 'sb15']"
"['sb31', 'sb35']"
"['sb43', 'sb36']"
"['sb6', 'sb17']"
"['sb43', 'sb30']"
"['sb42', 'sb4']"
"['sb42', 'sb18']"
"['sb14', 'sb0']"
"['sb21', 'sb18']"
"['sb2', 'sb27']"
"['sb43', 'sb27']"
"['sb47', 'sb4']"
"['sb31', 'sb29']"
"['sb31', 'sb5']"
"['sb25', 'sb0']"
"['sb15', 'sb30']"
"['sb3', 'sb4']"
"['sb8', 'sb47', 'sb36']"
"['sb25', 'sb0']"
"['sb28', 'sb0']"
"['sb1', 'sb4']"
"['sb7', 'sb33', 'sb27']"
"['sb10', 'sb8', 'sb20']"
"['sb21', 'sb0']"
"['sb18', 'sb31']"
"['sb44', 'sb19']"
"['sb31', 'sb11']"
"['sb15', 'sb38']"
"['sb47', 'sb18']"
"['sb44', 'sb23']"
"['sb4', 'sb16']"
"['sb22', 'sb26']"
"['sb18', 'sb6']"
"['sb15', 'sb27']"
"['sb22', 'sb18']"
"['sb22', 'sb46']"
"['sb43', 'sb20']"
"['sb42', 'sb30']"
"['sb16', 'sb17']"
"['sb18', 'sb6']"
"['sb16', 'sb30']"
"['sb15', 'sb30']"
"['sb13', 'sb2', 'sb11']"
"['sb8', 'sb20']"
"['sb23', 'sb15']"
"['sb15', 'sb17']"
"['sb28', 'sb30']"
"['sb8', 'sb15']"
"['sb9', 'sb22']"
"['sb47', 'sb43']"
"['sb25', 'sb45']"
"['sb41', 'sb15']"
"['sb39', 'sb31']"
