name,w,h
bk1,336.0,133.0
bk10a,378.0,119.0
bk10b,161.0,140.0
bk10c,119.0,49.0
bk11,175.0,119.0
bk12,140.0,406.0
bk13,140.0,497.0
bk14a,196.0,119.0
bk14b,294.0,119.0
bk14c,161.0,119.0
bk15a,119.0,266.0
bk15b,119.0,336.0
bk16,119.0,126.0
bk17a,371.0,182.0
bk17b,182.0,203.0
bk18,182.0,203.0
bk19,84.0,119.0
bk2,133.0,294.0
bk20,182.0,350.0
bk21,315.0,140.0
bk3,133.0,315.0
bk4,560.0,133.0
bk5a,133.0,140.0
bk5b,175.0,133.0
bk5c,133.0,231.0
bk6,133.0,315.0
bk7,182.0,98.0
bk8a,210.0,210.0
bk8b,126.0,378.0
bk9a,182.0,119.0
bk9b,119.0,119.0
bk9c,357.0,119.0
bk9d,119.0,84.0
