name,x,y
p1,0.0,0.0
p10,85.0,0.0
p100,800.0,142.0
p101,800.0,152.0
p102,800.0,161.0
p103,800.0,171.0
p104,800.0,180.0
p105,800.0,190.0
p106,800.0,200.0
p107,800.0,209.0
p108,800.0,219.0
p109,800.0,228.0
p11,95.0,0.0
p110,800.0,238.0
p111,800.0,247.0
p112,800.0,257.0
p113,800.0,266.0
p114,800.0,276.0
p115,800.0,285.0
p116,800.0,295.0
p117,800.0,304.0
p118,800.0,314.0
p119,800.0,323.0
p12,104.0,0.0
p120,800.0,333.0
p121,800.0,342.0
p122,800.0,352.0
p123,800.0,361.0
p124,800.0,371.0
p125,800.0,380.0
p126,800.0,390.0
p127,800.0,400.0
p128,800.0,409.0
p129,800.0,419.0
p13,114.0,0.0
p130,800.0,428.0
p131,800.0,438.0
p132,800.0,447.0
p133,800.0,457.0
p134,800.0,466.0
p135,800.0,476.0
p136,800.0,485.0
p137,800.0,495.0
p138,800.0,504.0
p139,800.0,514.0
p14,123.0,0.0
p140,800.0,523.0
p141,800.0,533.0
p142,800.0,542.0
p143,800.0,552.0
p144,800.0,561.0
p145,800.0,571.0
p146,800.0,580.0
p147,800.0,590.0
p148,800.0,600.0
p149,800.0,609.0
p15,133.0,0.0
p150,800.0,619.0
p151,800.0,628.0
p152,800.0,638.0
p153,800.0,647.0
p154,800.0,657.0
p155,800.0,666.0
p156,800.0,676.0
p157,800.0,685.0
p158,800.0,695.0
p159,800.0,704.0
p16,142.0,0.0
p160,800.0,714.0
p161,800.0,723.0
p162,800.0,733.0
p163,800.0,742.0
p164,800.0,752.0
p165,800.0,761.0
p166,800.0,771.0
p167,800.0,780.0
p168,800.0,790.0
p169,790.0,800.0
p17,152.0,0.0
p170,780.0,800.0
p171,771.0,800.0
p172,761.0,800.0
p173,752.0,800.0
p174,742.0,800.0
p175,733.0,800.0
p176,723.0,800.0
p177,714.0,800.0
p178,704.0,800.0
p179,695.0,800.0
p18,161.0,0.0
p180,685.0,800.0
p181,676.0,800.0
p182,666.0,800.0
p183,657.0,800.0
p184,647.0,800.0
p185,638.0,800.0
p186,628.0,800.0
p187,619.0,800.0
p188,609.0,800.0
p189,600.0,800.0
p19,171.0,0.0
p190,590.0,800.0
p191,580.0,800.0
p192,571.0,800.0
p193,561.0,800.0
p194,552.0,800.0
p195,542.0,800.0
p196,533.0,800.0
p197,523.0,800.0
p198,514.0,800.0
p199,504.0,800.0
p2,9.0,0.0
p20,180.0,0.0
p200,495.0,800.0
p201,485.0,800.0
p202,476.0,800.0
p203,466.0,800.0
p204,457.0,800.0
p205,447.0,800.0
p206,438.0,800.0
p207,428.0,800.0
p208,419.0,800.0
p209,409.0,800.0
p21,190.0,0.0
p210,400.0,800.0
p211,390.0,800.0
p212,380.0,800.0
p213,371.0,800.0
p214,361.0,800.0
p215,352.0,800.0
p216,342.0,800.0
p217,333.0,800.0
p218,323.0,800.0
p219,314.0,800.0
p22,200.0,0.0
p220,304.0,800.0
p221,295.0,800.0
p222,285.0,800.0
p223,276.0,800.0
p224,266.0,800.0
p225,257.0,800.0
p226,247.0,800.0
p227,238.0,800.0
p228,228.0,800.0
p229,219.0,800.0
p23,209.0,0.0
p230,209.0,800.0
p231,200.0,800.0
p232,190.0,800.0
p233,180.0,800.0
p234,171.0,800.0
p235,161.0,800.0
p236,152.0,800.0
p237,142.0,800.0
p238,133.0,800.0
p239,123.0,800.0
p24,219.0,0.0
p240,114.0,800.0
p241,104.0,800.0
p242,95.0,800.0
p243,85.0,800.0
p244,76.0,800.0
p245,66.0,800.0
p246,57.0,800.0
p247,47.0,800.0
p248,38.0,800.0
p249,28.0,800.0
p25,228.0,0.0
p250,19.0,800.0
p251,9.0,800.0
p252,0.0,800.0
p253,0.0,790.0
p254,0.0,780.0
p255,0.0,771.0
p256,0.0,761.0
p257,0.0,752.0
p258,0.0,742.0
p259,0.0,733.0
p26,238.0,0.0
p260,0.0,723.0
p261,0.0,714.0
p262,0.0,704.0
p263,0.0,695.0
p264,0.0,685.0
p265,0.0,676.0
p266,0.0,666.0
p267,0.0,657.0
p268,0.0,647.0
p269,0.0,638.0
p27,247.0,0.0
p270,0.0,628.0
p271,0.0,619.0
p272,0.0,609.0
p273,0.0,600.0
p274,0.0,590.0
p275,0.0,580.0
p276,0.0,571.0
p277,0.0,561.0
p278,0.0,552.0
p279,0.0,542.0
p28,257.0,0.0
p280,0.0,533.0
p281,0.0,523.0
p282,0.0,514.0
p283,0.0,504.0
p284,0.0,495.0
p285,0.0,485.0
p286,0.0,476.0
p287,0.0,466.0
p288,0.0,457.0
p289,0.0,447.0
p29,266.0,0.0
p290,0.0,438.0
p291,0.0,428.0
p292,0.0,419.0
p293,0.0,409.0
p294,0.0,400.0
p295,0.0,390.0
p296,0.0,380.0
p297,0.0,371.0
p298,0.0,361.0
p299,0.0,352.0
p3,19.0,0.0
p30,276.0,0.0
p300,0.0,342.0
p301,0.0,333.0
p302,0.0,323.0
p303,0.0,314.0
p304,0.0,304.0
p305,0.0,295.0
p306,0.0,285.0
p307,0.0,276.0
p308,0.0,266.0
p309,0.0,257.0
p31,285.0,0.0
p310,0.0,247.0
p311,0.0,238.0
p312,0.0,228.0
p313,0.0,219.0
p314,0.0,209.0
p315,0.0,200.0
p316,0.0,190.0
p317,0.0,180.0
p318,0.0,171.0
p319,0.0,161.0
p32,295.0,0.0
p320,0.0,152.0
p321,0.0,142.0
p322,0.0,133.0
p323,0.0,123.0
p324,0.0,114.0
p325,0.0,104.0
p326,0.0,95.0
p327,0.0,85.0
p328,0.0,76.0
p329,0.0,66.0
p33,304.0,0.0
p330,0.0,57.0
p331,0.0,47.0
p332,0.0,38.0
p333,0.0,28.0
p334,0.0,19.0
p34,314.0,0.0
p35,323.0,0.0
p36,333.0,0.0
p37,342.0,0.0
p38,352.0,0.0
p39,361.0,0.0
p4,28.0,0.0
p40,371.0,0.0
p41,380.0,0.0
p42,390.0,0.0
p43,400.0,0.0
p44,409.0,0.0
p45,419.0,0.0
p46,428.0,0.0
p47,438.0,0.0
p48,447.0,0.0
p49,457.0,0.0
p5,38.0,0.0
p50,466.0,0.0
p51,476.0,0.0
p52,485.0,0.0
p53,495.0,0.0
p54,504.0,0.0
p55,514.0,0.0
p56,523.0,0.0
p57,533.0,0.0
p58,542.0,0.0
p59,552.0,0.0
p6,47.0,0.0
p60,561.0,0.0
p61,571.0,0.0
p62,580.0,0.0
p63,590.0,0.0
p64,600.0,0.0
p65,609.0,0.0
p66,619.0,0.0
p67,628.0,0.0
p68,638.0,0.0
p69,647.0,0.0
p7,57.0,0.0
p70,657.0,0.0
p71,666.0,0.0
p72,676.0,0.0
p73,685.0,0.0
p74,695.0,0.0
p75,704.0,0.0
p76,714.0,0.0
p77,723.0,0.0
p78,733.0,0.0
p79,742.0,0.0
p8,66.0,0.0
p80,752.0,0.0
p81,761.0,0.0
p82,771.0,0.0
p83,780.0,0.0
p84,790.0,0.0
p85,800.0,0.0
p86,800.0,9.0
p87,800.0,19.0
p88,800.0,28.0
p89,800.0,38.0
p9,76.0,0.0
p90,800.0,47.0
p91,800.0,57.0
p92,800.0,66.0
p93,800.0,76.0
p94,800.0,85.0
p95,800.0,95.0
p96,800.0,104.0
p97,800.0,114.0
p98,800.0,123.0
p99,800.0,133.0
