net
"['p1', 'sb12', 'sb18']"
"['p2', 'sb130']"
"['p3', 'sb156', 'sb39']"
"['p4', 'sb19', 'sb102']"
"['p5', 'sb191', 'sb142']"
"['p6', 'sb67', 'sb163']"
"['p7', 'sb143', 'sb0']"
"['p8', 'sb191']"
"['p9', 'sb133', 'sb160']"
"['p10', 'sb4', 'sb83']"
"['p11', 'sb48', 'sb39']"
"['p12', 'sb55']"
"['p13', 'sb46', 'sb163']"
"['p14', 'sb129', 'sb62']"
"['p15', 'sb143', 'sb119']"
"['p16', 'sb92', 'sb168']"
"['p17', 'sb12', 'sb29']"
"['p18', 'sb41', 'sb51']"
"['p19', 'sb113']"
"['p20', 'sb152']"
"['p21', 'sb20', 'sb142']"
"['p22', 'sb180', 'sb51']"
"['p23', 'sb145']"
"['p24', 'sb42']"
"['p25', 'sb21']"
"['p26', 'sb169']"
"['p27', 'sb67', 'sb163']"
"['p28', 'sb25', 'sb0']"
"['p29', 'sb129']"
"['p30', 'sb82', 'sb112']"
"['p31', 'sb193', 'sb104']"
"['p32', 'sb143', 'sb157', 'sb63']"
"['p33', 'sb169', 'sb51']"
"['p34', 'sb169', 'sb28']"
"['p35', 'sb108', 'sb111']"
"['p36', 'sb91', 'sb112']"
"['p37', 'sb25', 'sb39']"
"['p38', 'sb85', 'sb95']"
"['p39', 'sb159', 'sb163']"
"['p40', 'sb25']"
"['p41', 'sb15', 'sb39']"
"['p42', 'sb46', 'sb168']"
"['p43', 'sb67', 'sb63']"
"['p44', 'sb199']"
"['p45', 'sb167', 'sb39']"
"['p46', 'sb88', 'sb68']"
"['p47', 'sb21', 'sb62']"
"['p48', 'sb129']"
"['p49', 'sb105', 'sb51']"
"['p50', 'sb180', 'sb109']"
"['p51', 'sb156', 'sb119']"
"['p52', 'sb12']"
"['p53', 'sb93']"
"['p54', 'sb64']"
"['p55', 'sb123']"
"['p56', 'sb191', 'sb63']"
"['p57', 'sb64', 'sb18']"
"['p58', 'sb129']"
"['p59', 'sb130', 'sb164']"
"['p60', 'sb88', 'sb112']"
"['p61', 'sb180', 'sb52']"
"['p62', 'sb40', 'sb62']"
"['p63', 'sb177']"
"['p64', 'sb197']"
"['p65', 'sb121', 'sb104']"
"['p66', 'sb103', 'sb168']"
"['p67', 'sb129', 'sb104']"
"['p68', 'sb196']"
"['p69', 'sb67']"
"['p70', 'sb173', 'sb102']"
"['p71', 'sb190', 'sb139', 'sb28']"
"['p72', 'sb74']"
"['p73', 'sb61']"
"['p74', 'sb199', 'sb84']"
"['p75', 'sb199', 'sb5']"
"['p76', 'sb82', 'sb28']"
"['p77', 'sb187']"
"['p78', 'sb116']"
"['p79', 'sb130', 'sb168']"
"['p80', 'sb46']"
"['p81', 'sb143', 'sb80']"
"['p82', 'sb59', 'sb28']"
"['p83', 'sb93', 'sb68']"
"['p84', 'sb40']"
"['p85', 'sb34']"
"['p86', 'sb131', 'sb63']"
"['p87', 'sb25', 'sb16']"
"['p88', 'sb74', 'sb84']"
"['p89', 'sb129', 'sb39']"
"['p90', 'sb196', 'sb84']"
"['p91', 'sb86']"
"['p92', 'sb55']"
"['p93', 'sb96']"
"['p94', 'sb56']"
"['p95', 'sb19', 'sb111']"
"['p96', 'sb65', 'sb163']"
"['p97', 'sb152']"
"['p98', 'sb1']"
"['p99', 'sb79', 'sb5']"
"['p100', 'sb145', 'sb151']"
"['p101', 'sb129']"
"['p102', 'sb188']"
"['p103', 'sb145']"
"['p104', 'sb130']"
"['p105', 'sb192']"
"['p106', 'sb188']"
"['p107', 'sb87', 'sb2']"
"['p108', 'sb135']"
"['p109', 'sb191', 'sb136']"
"['p110', 'sb46']"
"['p111', 'sb9', 'sb54']"
"['p112', 'sb72', 'sb54']"
"['p113', 'sb87', 'sb151']"
"['p114', 'sb132', 'sb119']"
"['p115', 'sb82', 'sb185']"
"['p116', 'sb132', 'sb185']"
"['p117', 'sb158', 'sb195']"
"['p118', 'sb157']"
"['p119', 'sb88', 'sb84']"
"['p120', 'sb15']"
"['p121', 'sb46', 'sb2']"
"['p122', 'sb17', 'sb28']"
"['p123', 'sb172']"
"['p124', 'sb55']"
"['p125', 'sb131', 'sb39']"
"['p126', 'sb25']"
"['p127', 'sb97']"
"['p128', 'sb66', 'sb39']"
"['p129', 'sb59', 'sb95']"
"['p130', 'sb137', 'sb104']"
"['p131', 'sb55', 'sb24']"
"['p132', 'sb144']"
"['p133', 'sb103', 'sb43']"
"['p134', 'sb50']"
"['p135', 'sb93', 'sb151']"
"['p136', 'sb115', 'sb148']"
"['p137', 'sb145', 'sb2']"
"['p138', 'sb171', 'sb18']"
"['p139', 'sb79']"
"['p140', 'sb118']"
"['p141', 'sb187', 'sb13']"
"['p142', 'sb174', 'sb148']"
"['p143', 'sb90']"
"['p144', 'sb59', 'sb28']"
"['p145', 'sb141']"
"['p146', 'sb116']"
"['p147', 'sb145']"
"['p148', 'sb61', 'sb63']"
"['p149', 'sb88', 'sb84']"
"['p150', 'sb158']"
"['p151', 'sb152', 'sb52']"
"['p152', 'sb143', 'sb185']"
"['p153', 'sb79', 'sb104']"
