net
"['p1', 'sb20']"
"['p2', 'sb7']"
"['p3', 'sb28']"
"['p4', 'sb29']"
"['p5', 'sb21']"
"['p6', 'sb7']"
"['p7', 'sb20']"
"['p8', 'sb2']"
"['p9', 'sb23']"
"['p10', 'sb22']"
"['p11', 'sb20']"
"['p12', 'sb19']"
"['p13', 'sb14']"
"['p14', 'sb15']"
"['p15', 'sb23']"
"['p16', 'sb5']"
"['p17', 'sb28']"
"['p18', 'sb0']"
"['p19', 'sb19']"
"['p20', 'sb8']"
"['p21', 'sb8']"
"['p22', 'sb15']"
"['p23', 'sb4']"
"['p24', 'sb26']"
"['p25', 'sb12']"
"['p26', 'sb4']"
"['p27', 'sb19']"
"['p28', 'sb17']"
"['p29', 'sb17']"
"['p30', 'sb9']"
"['p31', 'sb8']"
"['p32', 'sb7']"
"['p33', 'sb7']"
"['p34', 'sb0']"
"['p35', 'sb13']"
"['p36', 'sb12']"
"['p37', 'sb17']"
"['p38', 'sb28']"
"['p39', 'sb15']"
"['p40', 'sb20']"
"['p41', 'sb19']"
"['p42', 'sb10']"
"['p43', 'sb23']"
"['p44', 'sb13']"
"['p45', 'sb20']"
"['p46', 'sb20']"
"['p47', 'sb19']"
"['p48', 'sb25']"
"['p49', 'sb22']"
"['p50', 'sb19']"
"['p51', 'sb8']"
"['p52', 'sb8']"
"['p53', 'sb0']"
"['p54', 'sb26']"
"['p55', 'sb17']"
"['p56', 'sb28']"
"['p57', 'sb28']"
"['p58', 'sb7']"
"['p59', 'sb20']"
"['p60', 'sb26']"
"['p61', 'sb17']"
"['p62', 'sb19']"
"['p63', 'sb0']"
"['p64', 'sb20']"
"['p65', 'sb26']"
"['p66', 'sb12']"
"['p67', 'sb19']"
"['p68', 'sb11']"
"['p69', 'sb15']"
"['p70', 'sb28']"
"['p71', 'sb5']"
"['p72', 'sb13']"
"['p73', 'sb28']"
"['p74', 'sb7']"
"['p75', 'sb20']"
"['p76', 'sb4']"
"['p77', 'sb0']"
"['p78', 'sb20']"
"['p79', 'sb15']"
"['p80', 'sb20']"
"['p81', 'sb12']"
"['p82', 'sb19']"
"['p83', 'sb19']"
"['p84', 'sb9']"
"['p85', 'sb28']"
"['p86', 'sb2']"
"['p87', 'sb19']"
"['p88', 'sb11']"
"['p89', 'sb12']"
"['p90', 'sb11']"
"['p91', 'sb28']"
"['p92', 'sb9']"
"['p93', 'sb4']"
"['p94', 'sb19']"
"['p95', 'sb14']"
"['p96', 'sb7']"
"['p97', 'sb19']"
"['p98', 'sb27']"
"['p99', 'sb21']"
"['p100', 'sb5']"
"['p101', 'sb19']"
"['p102', 'sb23']"
"['p103', 'sb13']"
"['p104', 'sb9']"
"['p105', 'sb15']"
"['p106', 'sb0']"
"['p107', 'sb17']"
"['p108', 'sb12']"
"['p109', 'sb26']"
"['p110', 'sb8']"
"['p111', 'sb9']"
"['p112', 'sb10']"
"['p113', 'sb20']"
"['p114', 'sb7']"
"['p115', 'sb7']"
"['p116', 'sb14']"
"['p117', 'sb20']"
"['p118', 'sb2']"
"['p119', 'sb23']"
