name,x,y
p1,0.0,0.0
p10,50.0,0.0
p100,553.0,0.0
p101,559.0,0.0
p102,565.0,0.0
p103,570.0,0.0
p104,576.0,0.0
p105,581.0,0.0
p106,587.0,0.0
p107,593.0,0.0
p108,598.0,0.0
p109,604.0,0.0
p11,55.0,0.0
p110,609.0,0.0
p111,615.0,0.0
p112,620.0,0.0
p113,626.0,0.0
p114,632.0,0.0
p115,637.0,0.0
p116,643.0,0.0
p117,648.0,0.0
p118,654.0,0.0
p119,660.0,0.0
p12,61.0,0.0
p120,665.0,0.0
p121,671.0,0.0
p122,676.0,0.0
p123,682.0,0.0
p124,688.0,0.0
p125,693.0,0.0
p126,699.0,0.0
p127,704.0,0.0
p128,710.0,0.0
p129,716.0,0.0
p13,67.0,0.0
p130,721.0,0.0
p131,727.0,0.0
p132,732.0,0.0
p133,738.0,0.0
p134,744.0,0.0
p135,749.0,0.0
p136,755.0,0.0
p137,760.0,0.0
p138,766.0,0.0
p139,772.0,0.0
p14,72.0,0.0
p140,777.0,0.0
p141,783.0,0.0
p142,788.0,0.0
p143,794.0,0.0
p144,800.0,0.0
p145,800.0,5.0
p146,800.0,11.0
p147,800.0,16.0
p148,800.0,22.0
p149,800.0,27.0
p15,78.0,0.0
p150,800.0,33.0
p151,800.0,39.0
p152,800.0,44.0
p153,800.0,50.0
p154,800.0,55.0
p155,800.0,61.0
p156,800.0,67.0
p157,800.0,72.0
p158,800.0,78.0
p159,800.0,83.0
p16,83.0,0.0
p160,800.0,89.0
p161,800.0,95.0
p162,800.0,100.0
p163,800.0,106.0
p164,800.0,111.0
p165,800.0,117.0
p166,800.0,123.0
p167,800.0,128.0
p168,800.0,134.0
p169,800.0,139.0
p17,89.0,0.0
p170,800.0,145.0
p171,800.0,151.0
p172,800.0,156.0
p173,800.0,162.0
p174,800.0,167.0
p175,800.0,173.0
p176,800.0,179.0
p177,800.0,184.0
p178,800.0,190.0
p179,800.0,195.0
p18,95.0,0.0
p180,800.0,201.0
p181,800.0,206.0
p182,800.0,212.0
p183,800.0,218.0
p184,800.0,223.0
p185,800.0,229.0
p186,800.0,234.0
p187,800.0,240.0
p188,800.0,246.0
p189,800.0,251.0
p19,100.0,0.0
p190,800.0,257.0
p191,800.0,262.0
p192,800.0,268.0
p193,800.0,274.0
p194,800.0,279.0
p195,800.0,285.0
p196,800.0,290.0
p197,800.0,296.0
p198,800.0,302.0
p199,800.0,307.0
p2,5.0,0.0
p20,106.0,0.0
p200,800.0,313.0
p201,800.0,318.0
p202,800.0,324.0
p203,800.0,330.0
p204,800.0,335.0
p205,800.0,341.0
p206,800.0,346.0
p207,800.0,352.0
p208,800.0,358.0
p209,800.0,363.0
p21,111.0,0.0
p210,800.0,369.0
p211,800.0,374.0
p212,800.0,380.0
p213,800.0,386.0
p214,800.0,391.0
p215,800.0,397.0
p216,800.0,402.0
p217,800.0,408.0
p218,800.0,413.0
p219,800.0,419.0
p22,117.0,0.0
p220,800.0,425.0
p221,800.0,430.0
p222,800.0,436.0
p223,800.0,441.0
p224,800.0,447.0
p225,800.0,453.0
p226,800.0,458.0
p227,800.0,464.0
p228,800.0,469.0
p229,800.0,475.0
p23,123.0,0.0
p230,800.0,481.0
p231,800.0,486.0
p232,800.0,492.0
p233,800.0,497.0
p234,800.0,503.0
p235,800.0,509.0
p236,800.0,514.0
p237,800.0,520.0
p238,800.0,525.0
p239,800.0,531.0
p24,128.0,0.0
p240,800.0,537.0
p241,800.0,542.0
p242,800.0,548.0
p243,800.0,553.0
p244,800.0,559.0
p245,800.0,565.0
p246,800.0,570.0
p247,800.0,576.0
p248,800.0,581.0
p249,800.0,587.0
p25,134.0,0.0
p250,800.0,593.0
p251,800.0,598.0
p252,800.0,604.0
p253,800.0,609.0
p254,800.0,615.0
p255,800.0,620.0
p256,800.0,626.0
p257,800.0,632.0
p258,800.0,637.0
p259,800.0,643.0
p26,139.0,0.0
p260,800.0,648.0
p261,800.0,654.0
p262,800.0,660.0
p263,800.0,665.0
p264,800.0,671.0
p265,800.0,676.0
p266,800.0,682.0
p267,800.0,688.0
p268,800.0,693.0
p269,800.0,699.0
p27,145.0,0.0
p270,800.0,704.0
p271,800.0,710.0
p272,800.0,716.0
p273,800.0,721.0
p274,800.0,727.0
p275,800.0,732.0
p276,800.0,738.0
p277,800.0,744.0
p278,800.0,749.0
p279,800.0,755.0
p28,151.0,0.0
p280,800.0,760.0
p281,800.0,766.0
p282,800.0,772.0
p283,800.0,777.0
p284,800.0,783.0
p285,800.0,788.0
p286,800.0,794.0
p287,794.0,800.0
p288,788.0,800.0
p289,783.0,800.0
p29,156.0,0.0
p290,777.0,800.0
p291,772.0,800.0
p292,766.0,800.0
p293,760.0,800.0
p294,755.0,800.0
p295,749.0,800.0
p296,744.0,800.0
p297,738.0,800.0
p298,732.0,800.0
p299,727.0,800.0
p3,11.0,0.0
p30,162.0,0.0
p300,721.0,800.0
p301,716.0,800.0
p302,710.0,800.0
p303,704.0,800.0
p304,699.0,800.0
p305,693.0,800.0
p306,688.0,800.0
p307,682.0,800.0
p308,676.0,800.0
p309,671.0,800.0
p31,167.0,0.0
p310,665.0,800.0
p311,660.0,800.0
p312,654.0,800.0
p313,648.0,800.0
p314,643.0,800.0
p315,637.0,800.0
p316,632.0,800.0
p317,626.0,800.0
p318,620.0,800.0
p319,615.0,800.0
p32,173.0,0.0
p320,609.0,800.0
p321,604.0,800.0
p322,598.0,800.0
p323,593.0,800.0
p324,587.0,800.0
p325,581.0,800.0
p326,576.0,800.0
p327,570.0,800.0
p328,565.0,800.0
p329,559.0,800.0
p33,179.0,0.0
p330,553.0,800.0
p331,548.0,800.0
p332,542.0,800.0
p333,537.0,800.0
p334,531.0,800.0
p335,525.0,800.0
p336,520.0,800.0
p337,514.0,800.0
p338,509.0,800.0
p339,503.0,800.0
