net
"['p1', 'sb6']"
"['p2', 'sb8']"
"['p3', 'sb5']"
"['p4', 'sb5']"
"['p5', 'sb8']"
"['p6', 'sb0']"
"['p7', 'sb6']"
"['p8', 'sb6']"
"['p9', 'sb5']"
"['p10', 'sb7']"
"['p11', 'sb8']"
"['p12', 'sb7']"
"['p13', 'sb5']"
"['p14', 'sb8']"
"['p15', 'sb6']"
"['p16', 'sb3']"
"['p17', 'sb3']"
"['p18', 'sb5']"
"['p19', 'sb5']"
"['p20', 'sb7']"
"['p21', 'sb5']"
"['p22', 'sb1']"
"['p23', 'sb3']"
"['p24', 'sb7']"
"['p25', 'sb3']"
"['p26', 'sb5']"
"['p27', 'sb7']"
"['p28', 'sb6']"
"['p29', 'sb6']"
"['p30', 'sb8']"
"['p31', 'sb0']"
"['p32', 'sb5']"
"['p33', 'sb0']"
"['p34', 'sb3']"
"['p35', 'sb6']"
"['p36', 'sb8']"
"['p37', 'sb3']"
"['p38', 'sb7']"
"['p39', 'sb7']"
"['p40', 'sb6']"
"['p41', 'sb7']"
"['p42', 'sb5']"
"['p43', 'sb0']"
"['p44', 'sb7']"
"['p45', 'sb1']"
"['p46', 'sb7']"
"['p47', 'sb3']"
"['p48', 'sb7']"
"['sb0', 'p49', 'sb4', 'sb2']"
"['sb4', 'p50']"
"['sb6', 'p51']"
"['sb7', 'p52', 'sb8']"
"['sb4', 'p53']"
"['sb8', 'p54']"
"['sb7', 'p55']"
"['sb7', 'p56']"
"['sb8', 'p57', 'sb9']"
"['sb0', 'p58', 'sb1']"
"['sb7', 'p59']"
"['sb7', 'p60']"
"['sb8', 'p61']"
"['sb4', 'p62']"
"['sb8', 'p63']"
"['sb4', 'p64']"
"['sb4', 'p65']"
"['sb7', 'p66']"
"['sb4', 'p67']"
"['sb2', 'p68', 'sb8']"
"['sb8', 'p69']"
"['sb6', 'sb5', 'sb3']"
"['sb6', 'sb3']"
"['sb3', 'sb0']"
"['sb5', 'sb1']"
"['sb3', 'sb5']"
"['sb1', 'sb4']"
"['sb5', 'sb1']"
"['sb1', 'sb7']"
"['sb3', 'sb0']"
"['sb7', 'sb9']"
"['sb1', 'sb7']"
"['sb6', 'sb8', 'sb3']"
"['sb5', 'sb0', 'sb1']"
"['sb1', 'sb8']"
"['sb9', 'sb4']"
"['sb1', 'sb7']"
"['sb9', 'sb4']"
"['sb1', 'sb8']"
"['sb2', 'sb9', 'sb1', 'sb8']"
"['sb9', 'sb4']"
"['sb7', 'sb9']"
"['sb0', 'sb2']"
"['sb3', 'sb7']"
"['sb8', 'sb9']"
"['sb3', 'sb8']"
"['sb5', 'sb9']"
"['sb9', 'sb4']"
"['sb0', 'sb1']"
"['sb8', 'sb9']"
"['sb6', 'sb2']"
"['sb9', 'sb4']"
"['sb0', 'sb9']"
"['sb3', 'sb0']"
"['sb0', 'sb2']"
"['sb7', 'sb9']"
"['sb5', 'sb2']"
"['sb1', 'sb7']"
"['sb9', 'sb4']"
"['sb7', 'sb9']"
"['sb8', 'sb9']"
"['sb5', 'sb2']"
"['sb5', 'sb1']"
"['sb1', 'sb7']"
"['sb5', 'sb1']"
"['sb9', 'sb4']"
"['sb9', 'sb4']"
"['sb3', 'sb1', 'sb5']"
"['sb2', 'sb8']"
"['sb0', 'sb2']"
