name,x,y
p1,0.0,0.0
p10,51.0,0.0
p100,561.0,0.0
p101,567.0,0.0
p102,573.0,0.0
p103,578.0,0.0
p104,584.0,0.0
p105,590.0,0.0
p106,595.0,0.0
p107,601.0,0.0
p108,607.0,0.0
p109,612.0,0.0
p11,56.0,0.0
p110,618.0,0.0
p111,624.0,0.0
p112,629.0,0.0
p113,635.0,0.0
p114,641.0,0.0
p115,646.0,0.0
p116,652.0,0.0
p117,658.0,0.0
p118,663.0,0.0
p119,669.0,0.0
p12,62.0,0.0
p120,675.0,0.0
p121,680.0,0.0
p122,686.0,0.0
p123,692.0,0.0
p124,697.0,0.0
p125,703.0,0.0
p126,709.0,0.0
p127,714.0,0.0
p128,720.0,0.0
p129,726.0,0.0
p13,68.0,0.0
p130,731.0,0.0
p131,737.0,0.0
p132,743.0,0.0
p133,748.0,0.0
p134,754.0,0.0
p135,760.0,0.0
p136,765.0,0.0
p137,771.0,0.0
p138,777.0,0.0
p139,782.0,0.0
p14,73.0,0.0
p140,788.0,0.0
p141,794.0,0.0
p142,800.0,0.0
p143,800.0,5.0
p144,800.0,11.0
p145,800.0,17.0
p146,800.0,22.0
p147,800.0,28.0
p148,800.0,34.0
p149,800.0,39.0
p15,79.0,0.0
p150,800.0,45.0
p151,800.0,51.0
p152,800.0,56.0
p153,800.0,62.0
p154,800.0,68.0
p155,800.0,73.0
p156,800.0,79.0
p157,800.0,85.0
p158,800.0,90.0
p159,800.0,96.0
p16,85.0,0.0
p160,800.0,102.0
p161,800.0,107.0
p162,800.0,113.0
p163,800.0,119.0
p164,800.0,124.0
p165,800.0,130.0
p166,800.0,136.0
p167,800.0,141.0
p168,800.0,147.0
p169,800.0,153.0
p17,90.0,0.0
p170,800.0,158.0
p171,800.0,164.0
p172,800.0,170.0
p173,800.0,175.0
p174,800.0,181.0
p175,800.0,187.0
p176,800.0,192.0
p177,800.0,198.0
p178,800.0,204.0
p179,800.0,209.0
p18,96.0,0.0
p180,800.0,215.0
p181,800.0,221.0
p182,800.0,226.0
p183,800.0,232.0
p184,800.0,238.0
p185,800.0,243.0
p186,800.0,249.0
p187,800.0,255.0
p188,800.0,260.0
p189,800.0,266.0
p19,102.0,0.0
p190,800.0,272.0
p191,800.0,278.0
p192,800.0,283.0
p193,800.0,289.0
p194,800.0,295.0
p195,800.0,300.0
p196,800.0,306.0
p197,800.0,312.0
p198,800.0,317.0
p199,800.0,323.0
p2,5.0,0.0
p20,107.0,0.0
p200,800.0,329.0
p201,800.0,334.0
p202,800.0,340.0
p203,800.0,346.0
p204,800.0,351.0
p205,800.0,357.0
p206,800.0,363.0
p207,800.0,368.0
p208,800.0,374.0
p209,800.0,380.0
p21,113.0,0.0
p210,800.0,385.0
p211,800.0,391.0
p212,800.0,397.0
p213,800.0,402.0
p214,800.0,408.0
p215,800.0,414.0
p216,800.0,419.0
p217,800.0,425.0
p218,800.0,431.0
p219,800.0,436.0
p22,119.0,0.0
p220,800.0,442.0
p221,800.0,448.0
p222,800.0,453.0
p223,800.0,459.0
p224,800.0,465.0
p225,800.0,470.0
p226,800.0,476.0
p227,800.0,482.0
p228,800.0,487.0
p229,800.0,493.0
p23,124.0,0.0
p230,800.0,499.0
p231,800.0,504.0
p232,800.0,510.0
p233,800.0,516.0
p234,800.0,521.0
p235,800.0,527.0
p236,800.0,533.0
p237,800.0,539.0
p238,800.0,544.0
p239,800.0,550.0
p24,130.0,0.0
p240,800.0,556.0
p241,800.0,561.0
p242,800.0,567.0
p243,800.0,573.0
p244,800.0,578.0
p245,800.0,584.0
p246,800.0,590.0
p247,800.0,595.0
p248,800.0,601.0
p249,800.0,607.0
p25,136.0,0.0
p250,800.0,612.0
p251,800.0,618.0
p252,800.0,624.0
p253,800.0,629.0
p254,800.0,635.0
p255,800.0,641.0
p256,800.0,646.0
p257,800.0,652.0
p258,800.0,658.0
p259,800.0,663.0
p26,141.0,0.0
p260,800.0,669.0
p261,800.0,675.0
p262,800.0,680.0
p263,800.0,686.0
p264,800.0,692.0
p265,800.0,697.0
p266,800.0,703.0
p267,800.0,709.0
p268,800.0,714.0
p269,800.0,720.0
p27,147.0,0.0
p270,800.0,726.0
p271,800.0,731.0
p272,800.0,737.0
p273,800.0,743.0
p274,800.0,748.0
p275,800.0,754.0
p276,800.0,760.0
p277,800.0,765.0
p278,800.0,771.0
p279,800.0,777.0
p28,153.0,0.0
p280,800.0,782.0
p281,800.0,788.0
p282,800.0,794.0
p283,794.0,800.0
p284,788.0,800.0
p285,782.0,800.0
p286,777.0,800.0
p287,771.0,800.0
p288,765.0,800.0
p289,760.0,800.0
p29,158.0,0.0
p290,754.0,800.0
p291,748.0,800.0
p292,743.0,800.0
p293,737.0,800.0
p294,731.0,800.0
p295,726.0,800.0
p296,720.0,800.0
p297,714.0,800.0
p298,709.0,800.0
p299,703.0,800.0
p3,11.0,0.0
p30,164.0,0.0
p300,697.0,800.0
p301,692.0,800.0
p302,686.0,800.0
p303,680.0,800.0
p304,675.0,800.0
p305,669.0,800.0
p306,663.0,800.0
p307,658.0,800.0
p308,652.0,800.0
p309,646.0,800.0
p31,170.0,0.0
p310,641.0,800.0
p311,635.0,800.0
p312,629.0,800.0
p313,624.0,800.0
p314,618.0,800.0
p315,612.0,800.0
p316,607.0,800.0
p317,601.0,800.0
p318,595.0,800.0
p319,590.0,800.0
p32,175.0,0.0
p320,584.0,800.0
p321,578.0,800.0
p322,573.0,800.0
p323,567.0,800.0
p324,561.0,800.0
p325,556.0,800.0
p326,550.0,800.0
p327,544.0,800.0
p328,539.0,800.0
p329,533.0,800.0
p33,181.0,0.0
p330,527.0,800.0
p331,521.0,800.0
p332,516.0,800.0
p333,510.0,800.0
p334,504.0,800.0
p335,499.0,800.0
p336,493.0,800.0
p337,487.0,800.0
p338,482.0,800.0
p339,476.0,800.0
p34,187.0,0.0
p340,470.0,800.0
p341,465.0,800.0
p342,459.0,800.0
p343,453.0,800.0
p344,448.0,800.0
p345,442.0,800.0
p346,436.0,800.0
p347,431.0,800.0
p348,425.0,800.0
p349,419.0,800.0
p35,192.0,0.0
p350,414.0,800.0
p351,408.0,800.0
p352,402.0,800.0
p353,397.0,800.0
p354,391.0,800.0
p355,385.0,800.0
p356,380.0,800.0
p357,374.0,800.0
p358,368.0,800.0
p359,363.0,800.0
