name,w,h
sb0,36.0,16.0
sb1,19.0,39.0
sb10,45.0,32.0
sb100,27.0,25.0
sb101,40.0,48.0
sb102,25.0,38.0
sb103,32.0,32.0
sb104,36.0,25.0
sb105,42.0,31.0
sb106,34.0,39.0
sb107,45.0,16.0
sb108,33.0,12.0
sb109,12.0,22.0
sb11,14.0,36.0
sb110,44.0,23.0
sb111,18.0,13.0
sb112,18.0,46.0
sb113,43.0,28.0
sb114,39.0,19.0
sb115,37.0,30.0
sb116,37.0,42.0
sb117,24.0,37.0
sb118,39.0,35.0
sb119,24.0,36.0
sb12,36.0,42.0
sb120,15.0,45.0
sb121,32.0,45.0
sb122,43.0,30.0
sb123,13.0,35.0
sb124,13.0,39.0
sb125,18.0,28.0
sb126,38.0,28.0
sb127,24.0,22.0
sb128,36.0,25.0
sb129,44.0,46.0
sb13,48.0,45.0
sb130,44.0,45.0
sb131,36.0,20.0
sb132,38.0,16.0
sb133,14.0,12.0
sb134,29.0,16.0
sb135,15.0,37.0
sb136,24.0,19.0
sb137,22.0,18.0
sb138,30.0,22.0
sb139,33.0,31.0
sb14,15.0,25.0
sb140,12.0,16.0
sb141,25.0,34.0
sb142,27.0,46.0
sb143,46.0,44.0
sb144,25.0,29.0
sb145,45.0,34.0
sb146,33.0,34.0
sb147,12.0,31.0
sb148,17.0,25.0
sb149,22.0,22.0
sb15,45.0,46.0
sb150,13.0,30.0
sb151,16.0,27.0
sb152,33.0,33.0
sb153,40.0,12.0
sb154,42.0,44.0
sb155,12.0,13.0
sb156,19.0,42.0
sb157,42.0,12.0
sb158,28.0,17.0
sb159,24.0,36.0
sb16,18.0,22.0
sb160,12.0,36.0
sb161,19.0,31.0
sb162,30.0,12.0
sb163,46.0,47.0
sb164,32.0,27.0
sb165,41.0,33.0
sb166,36.0,12.0
sb167,47.0,14.0
sb168,37.0,25.0
sb169,46.0,28.0
sb17,33.0,26.0
sb170,22.0,45.0
sb171,35.0,34.0
sb172,31.0,25.0
sb173,42.0,22.0
sb174,25.0,20.0
sb175,34.0,12.0
sb176,20.0,16.0
sb177,21.0,31.0
sb178,20.0,16.0
sb179,45.0,41.0
sb18,34.0,19.0
sb180,19.0,21.0
sb181,15.0,42.0
sb182,33.0,12.0
sb183,37.0,16.0
sb184,20.0,19.0
sb185,13.0,44.0
sb186,13.0,48.0
sb187,22.0,24.0
sb188,24.0,40.0
sb189,31.0,20.0
sb19,30.0,12.0
sb190,37.0,34.0
sb191,42.0,37.0
sb192,22.0,28.0
sb193,42.0,43.0
sb194,42.0,43.0
sb195,25.0,36.0
sb196,39.0,16.0
sb197,47.0,35.0
sb198,22.0,40.0
sb199,34.0,40.0
sb2,41.0,35.0
sb20,28.0,33.0
sb21,44.0,39.0
sb22,26.0,39.0
sb23,40.0,25.0
sb24,25.0,15.0
sb25,36.0,36.0
sb26,43.0,25.0
sb27,34.0,15.0
sb28,46.0,38.0
sb29,12.0,37.0
sb3,18.0,47.0
sb30,17.0,27.0
sb31,37.0,16.0
sb32,23.0,32.0
sb33,18.0,36.0
sb34,19.0,38.0
sb35,15.0,33.0
sb36,28.0,12.0
sb37,16.0,21.0
sb38,33.0,26.0
sb39,30.0,42.0
sb4,26.0,32.0
sb40,28.0,41.0
sb41,16.0,16.0
sb42,19.0,44.0
sb43,40.0,34.0
sb44,27.0,16.0
sb45,14.0,37.0
sb46,48.0,15.0
sb47,23.0,14.0
sb48,24.0,26.0
sb49,40.0,31.0
sb5,35.0,31.0
sb50,33.0,42.0
sb51,27.0,48.0
sb52,27.0,37.0
sb53,17.0,18.0
sb54,43.0,16.0
sb55,13.0,46.0
sb56,22.0,25.0
sb57,19.0,48.0
sb58,19.0,41.0
sb59,46.0,46.0
sb6,29.0,13.0
sb60,30.0,35.0
sb61,33.0,34.0
sb62,37.0,45.0
sb63,15.0,35.0
sb64,47.0,48.0
sb65,30.0,33.0
sb66,31.0,31.0
sb67,44.0,37.0
sb68,35.0,24.0
sb69,19.0,38.0
sb7,28.0,21.0
sb70,36.0,14.0
sb71,42.0,34.0
sb72,34.0,33.0
sb73,18.0,38.0
sb74,29.0,18.0
sb75,23.0,27.0
sb76,14.0,12.0
sb77,24.0,16.0
sb78,26.0,43.0
sb79,19.0,37.0
sb8,32.0,15.0
sb80,14.0,15.0
sb81,32.0,20.0
sb82,32.0,33.0
sb83,19.0,37.0
sb84,43.0,37.0
sb85,48.0,37.0
sb86,24.0,24.0
sb87,45.0,19.0
sb88,28.0,43.0
sb89,12.0,35.0
sb9,46.0,34.0
sb90,45.0,24.0
sb91,44.0,28.0
sb92,42.0,24.0
sb93,43.0,21.0
sb94,15.0,16.0
sb95,36.0,25.0
sb96,25.0,45.0
sb97,25.0,28.0
sb98,16.0,26.0
sb99,37.0,20.0
